"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"1" "SPEN" "0.005" "0.036" "0.022" "0.025" "0.091" "0.008" "0.014" "0.051" "0.024" "0.025" "0.025" "0.002" "0.018" "0"
"2" "PIK3CA" "0.05" "0.29" "0.013" "0.054" "0.121" "0.052" "0.008" "0.243" "0.019" "0.11" "0.033" "0.047" "0.056" "0.004"
"3" "HMCN1" "0.033" "0.042" "0.03" "0.054" "0.18" "0.044" "0.039" "0.064" "0.034" "0.034" "0.077" "0.021" "0.05" "0.01"
"4" "TP53" "0.207" "0.275" "0.035" "0.192" "0.463" "0.141" "0.472" "0.13" "0.013" "0.388" "0.203" "0.283" "0.29" "0.006"
"5" "TTN" "0.117" "0.176" "0.128" "0.153" "0.478" "0.153" "0.118" "0.173" "0.145" "0.28" "0.247" "0.076" "0.28" "0.034"
"6" "FAT3" "0.011" "0.036" "0.024" "0.04" "0.158" "0.017" "0.034" "0.086" "0.03" "0.047" "0.115" "0.004" "0.067" "0.008"
"7" "FLG" "0.048" "0.049" "0.026" "0.064" "0.177" "0.072" "0.02" "0.077" "0.02" "0.093" "0.128" "0.019" "0.085" "0.008"
"8" "HYDIN" "0.007" "0.033" "0.01" "0.046" "0.083" "0.013" "0.024" "0.049" "0.006" "0.034" "0.046" "0" "0.032" "0.002"
"9" "CSMD1" "0.005" "0.035" "0.019" "0.057" "0.17" "0.01" "0.017" "0.066" "0.02" "0.061" "0.105" "0" "0.081" "0.008"
"10" "USH2A" "0.027" "0.048" "0.032" "0.059" "0.145" "0.042" "0.039" "0.075" "0.037" "0.081" "0.151" "0.01" "0.141" "0.006"
"11" "MUC16" "0.077" "0.091" "0.083" "0.079" "0.291" "0.106" "0.041" "0.109" "0.073" "0.133" "0.19" "0.045" "0.198" "0.042"
"12" "MAP2" "0.001" "0.019" "0.003" "0.037" "0.091" "0.002" "0.019" "0.035" "0.006" "0.025" "0.038" "0" "0.024" "0.002"
"13" "LRP1B" "0.013" "0.026" "0.026" "0.076" "0.215" "0.013" "0.022" "0.058" "0.03" "0.123" "0.153" "0.012" "0.149" "0.004"
"14" "SYNE1" "0.022" "0.05" "0.029" "0.099" "0.234" "0.029" "0.017" "0.068" "0.03" "0.106" "0.071" "0.014" "0.125" "0.006"
