"item_short","CNT","min","q1","weighted_median","weighted_mean","q3","max"
"M00GQ01","ARE",1,4,6,15.35,14,353
"M00GQ01","AUS",2,3,5,13.31,12.75,295
"M00GQ01","AUT",3,3,4,9.33,7.75,376
"M00GQ01","BEL",2,3,5,13.39,14,318
"M00GQ01","BGR",3,3,5,12.25,13,163
"M00GQ01","BRA",3,4,6,13.15,14,197
"M00GQ01","CAN",2,3,5,12.33,11,228
"M00GQ01","CHE",2,3,5,12.57,11,172
"M00GQ01","CHL",2,3,5,12.26,11,505
"M00GQ01","COL",3,4,6,14.04,15,358
"M00GQ01","CRI",3,3.25,6,13.74,15,168
"M00GQ01","CZE",3,4,6,15.25,17,158
"M00GQ01","DEU",3,3,4,9.82,8,260
"M00GQ01","DNK",2,3,5,14.56,20,920
"M00GQ01","DOM",3,5,6,10.09,11,195
"M00GQ01","ESP",3,4,11,19.65,28,176
"M00GQ01","EST",3,4,6,15.4,19,115
"M00GQ01","FIN",2,3,4,9.74,8,213
"M00GQ01","FRA",3,3,4,9.38,8,140
"M00GQ01","GBR",2,3,5,13.4,12,1302
"M00GQ01","GRC",2,4,11,20.45,28,557
"M00GQ01","HKG",2,4,6,15.1,14,167
"M00GQ01","HRV",2,3,4,11.25,10,353
"M00GQ01","HUN",3,3,5,13.97,14.5,995
"M00GQ01","IRL",2,3,5,10.65,9,212
"M00GQ01","ISL",3,4,6,17.19,23,150
"M00GQ01","ISR",3,4,6,13.07,13.75,185
"M00GQ01","ITA",1,3,5,13.06,14,186
"M00GQ01","JPN",2,3,4,8.36,7,229
"M00GQ01","KOR",3,5,11,21.78,27,1055
"M00GQ01","LTU",3,4,8,17.88,21,1926
"M00GQ01","LUX",3,3,4,8.4,6,202
"M00GQ01","LVA",3,3,7,16.06,22,181
"M00GQ01","MAC",2,4,10,23.87,34,180
"M00GQ01","MEX",3,6,18,26.45,37,243
"M00GQ01","MNE",3,4,8,17.7,22,167
"M00GQ01","NLD",3,4,14,24.84,35,260
"M00GQ01","NOR",3,3,5,9.88,9,232
"M00GQ01","NZL",2,4,6,15.18,19,182
"M00GQ01","PER",3,5,12,21.4,26,730
"M00GQ01","POL",3,4,15,24.12,35,172
"M00GQ01","PRT",3,3,5,13.6,15,494
"M00GQ01","QAT",3,4,6,16.32,17,288
"M00GQ01","QCH",3,6,22,31.47,40,463
"M00GQ01","QES",3,4,8,19.34,24,1128
"M00GQ01","QUC",3,3,5,15.23,15,122
"M00GQ01","QUE",3,3,5,31.37,13,4991
"M00GQ01","RUS",1,3,5,11.66,12,162
"M00GQ01","SGP",2,3,4,8.69,7,561
"M00GQ01","SVK",3,4,5,11.47,10,183
"M00GQ01","SVN",2,3,5,13.72,15,178
"M00GQ01","SWE",3,3.5,5,11.99,12,164
"M00GQ01","TAP",3,4,8,20.62,25,984
"M00GQ01","THA",3,5,12,24.37,31,267
"M00GQ01","TUN",3,5,11,21.07,25,419
"M00GQ01","TUR",3,4,9,19.25,20.5,361
"M00GQ01","URY",3,4,11,17.87,24,184
"M00GQ01","USA",3,4,5,13.99,16,579
"M033Q01","ARE",3,3,3,6.93,6,797
"M033Q01","AUS",1,3,3,4.82,5,211
"M033Q01","AUT",3,3,3,4.91,6,32
"M033Q01","BEL",3,3,3,4.83,5,132
"M033Q01","BGR",3,3,3,5.06,5,48
"M033Q01","BRA",3,3,4,5.64,7,185
"M033Q01","CAN",3,3,3,4.77,5,101
"M033Q01","CHE",3,3,3,4.79,5,37
"M033Q01","CHL",3,3,4,5.5,6,42
"M033Q01","COL",3,3,4,6.85,7,185
"M033Q01","CRI",3,3,4,6.44,7,144
"M033Q01","CZE",3,3,3,4.7,5,37
"M033Q01","DEU",3,3,3,5.23,5,166
"M033Q01","DNK",3,3,3,4.64,5,21
"M033Q01","DOM",1,3,4,7.03,7,127
"M033Q01","ESP",3,3,3,5.1,5,37
"M033Q01","EST",2,3,3,4.53,5,26
"M033Q01","FIN",3,3,3,4.07,4,16
"M033Q01","FRA",3,3,3,4.99,5,43
"M033Q01","GBR",3,3,3,4.49,5,63
"M033Q01","GRC",3,3,3,5.78,6,116
"M033Q01","HKG",3,3,4,6.52,7,172
"M033Q01","HRV",3,3,3,4.67,5,55
"M033Q01","HUN",3,3,3,4.86,5,55
"M033Q01","IRL",3,3,3,4.65,5,34
"M033Q01","ISL",3,3,3,5.01,5,67
"M033Q01","ISR",3,3,3,5.51,6,122
"M033Q01","ITA",3,3,3,5.3,6,51
"M033Q01","JPN",1,3,3,4.96,5,34
"M033Q01","KOR",3,3,4,5.49,6,141
"M033Q01","LTU",3,3,3,4.78,5,35
"M033Q01","LUX",3,3,3,5.21,6,33
"M033Q01","LVA",3,3,3,4.7,5,67
"M033Q01","MAC",3,3,4,5.97,7,87
"M033Q01","MEX",3,3,3,6.02,7,78
"M033Q01","MNE",3,3,3,5.5,6,113
