"item_short","CNT","full_credit","no_credit"
"M00GQ01","ARE",21,1554
"M00GQ01","AUS",101,1505
"M00GQ01","AUT",69,673
"M00GQ01","BEL",97,938
"M00GQ01","BGR",16,616
"M00GQ01","BRA",38,2129
"M00GQ01","CAN",142,2102
"M00GQ01","CHE",145,784
"M00GQ01","CHL",18,689
"M00GQ01","COL",17,1266
"M00GQ01","CRI",8,634
"M00GQ01","CZE",62,665
"M00GQ01","DEU",48,630
"M00GQ01","DNK",58,686
"M00GQ01","DOM",4,657
"M00GQ01","ESP",26,702
"M00GQ01","EST",49,568
"M00GQ01","FIN",47,602
"M00GQ01","FRA",38,604
"M00GQ01","GBR",95,1433
"M00GQ01","GRC",12,574
"M00GQ01","HKG",78,538
"M00GQ01","HRV",17,615
"M00GQ01","HUN",30,605
"M00GQ01","IRL",34,902
"M00GQ01","ISL",34,326
"M00GQ01","ISR",22,612
"M00GQ01","ITA",81,1184
"M00GQ01","JPN",157,553
"M00GQ01","KOR",73,553
"M00GQ01","LTU",43,699
"M00GQ01","LUX",37,548
"M00GQ01","LVA",26,522
"M00GQ01","MAC",47,473
"M00GQ01","MEX",13,819
"M00GQ01","MNE",6,535
"M00GQ01","NLD",58,547
"M00GQ01","NOR",53,506
"M00GQ01","NZL",34,446
"M00GQ01","PER",11,690
"M00GQ01","POL",71,632
"M00GQ01","PRT",29,744
"M00GQ01","QAT",45,1747
"M00GQ01","QCH",182,940
"M00GQ01","QES",124,3332
"M00GQ01","QUC",12,171
"M00GQ01","QUE",10,206
"M00GQ01","RUS",62,619
"M00GQ01","SGP",105,603
"M00GQ01","SVK",47,630
"M00GQ01","SVN",51,629
"M00GQ01","SWE",68,467
"M00GQ01","TAP",156,731
"M00GQ01","THA",50,857
"M00GQ01","TUN",1,509
"M00GQ01","TUR",31,620
"M00GQ01","URY",7,614
"M00GQ01","USA",34,604
"M033Q01","ARE",1020,591
"M033Q01","AUS",1380,328
"M033Q01","AUT",679,117
"M033Q01","BEL",926,165
"M033Q01","BGR",474,200
"M033Q01","BRA",1579,915
"M033Q01","CAN",1919,374
"M033Q01","CHE",846,116
"M033Q01","CHL",636,172
"M033Q01","COL",901,470
"M033Q01","CRI",475,235
"M033Q01","CZE",662,119
"M033Q01","DEU",619,120
"M033Q01","DNK",676,104
"M033Q01","DOM",346,397
"M033Q01","ESP",613,161
"M033Q01","EST",549,110
"M033Q01","FIN",593,93
"M033Q01","FRA",576,142
"M033Q01","GBR",1291,357
"M033Q01","GRC",473,161
"M033Q01","HKG",515,118
"M033Q01","HRV",479,196
"M033Q01","HUN",509,144
"M033Q01","IRL",700,228
"M033Q01","ISL",343,67
"M033Q01","ISR",512,264
"M033Q01","ITA",1114,237
"M033Q01","JPN",685,95
"M033Q01","KOR",521,130
"M033Q01","LTU",557,201
"M033Q01","LUX",504,95
"M033Q01","LVA",439,123
"M033Q01","MAC",438,87
"M033Q01","MEX",591,275
"M033Q01","MNE",406,245
"M033Q01","NLD",514,95
"M033Q01","NOR",546,109
"M033Q01","NZL",423,107
"M033Q01","PER",475,294
"M033Q01","POL",552,168
"M033Q01","PRT",672,184
"M033Q01","QAT",1194,746
"M033Q01","QCH",848,312
