"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"1" "SPEN" "6" "40" "21" "16" "57" "5" "8" "28" "13" "13" "13" "1" "9" "0"
"2" "PIK3CA" "55" "318" "12" "34" "76" "31" "5" "133" "10" "58" "17" "24" "28" "2"
"3" "HMCN1" "37" "46" "28" "34" "113" "26" "23" "35" "18" "18" "40" "11" "25" "5"
"4" "TP53" "230" "302" "33" "121" "291" "84" "279" "71" "7" "205" "106" "146" "146" "3"
"5" "TTN" "130" "193" "120" "96" "300" "91" "70" "95" "78" "148" "129" "39" "141" "17"
"6" "FAT3" "12" "39" "23" "25" "99" "10" "20" "47" "16" "25" "60" "2" "34" "4"
"7" "FLG" "53" "54" "24" "40" "111" "43" "12" "42" "11" "49" "67" "10" "43" "4"
"8" "HYDIN" "8" "36" "9" "29" "52" "8" "14" "27" "3" "18" "24" "0" "16" "1"
"9" "CSMD1" "6" "38" "18" "36" "107" "6" "10" "36" "11" "32" "55" "0" "41" "4"
"10" "USH2A" "30" "53" "30" "37" "91" "25" "23" "41" "20" "43" "79" "5" "71" "3"
"11" "MUC16" "86" "100" "78" "50" "183" "63" "24" "60" "39" "70" "99" "23" "100" "21"
"12" "MAP2" "1" "21" "3" "23" "57" "1" "11" "19" "3" "13" "20" "0" "12" "1"
"13" "LRP1B" "14" "28" "24" "48" "135" "8" "13" "32" "16" "65" "80" "6" "75" "2"
"14" "SYNE1" "24" "55" "27" "62" "147" "17" "10" "37" "16" "56" "37" "7" "63" "3"
"15" "RYR3" "24" "52" "20" "27" "85" "20" "7" "41" "13" "24" "46" "4" "50" "1"
"16" "ZFHX4" "8" "38" "13" "34" "81" "5" "11" "43" "8" "32" "71" "3" "78" "1"
"17" "MDN1" "4" "37" "13" "26" "66" "3" "10" "36" "6" "21" "18" "1" "30" "6"
"18" "COL6A3" "26" "23" "22" "34" "65" "18" "14" "23" "11" "15" "33" "8" "15" "3"
"19" "PCLO" "41" "34" "28" "22" "111" "33" "7" "35" "16" "49" "55" "8" "34" "1"
"20" "APOB" "32" "38" "17" "28" "69" "18" "15" "35" "10" "29" "47" "14" "40" "5"
"21" "DNAH9" "13" "31" "17" "25" "73" "9" "6" "33" "13" "27" "43" "4" "33" "10"
"22" "ZDBF2" "11" "17" "8" "17" "32" "8" "4" "18" "5" "6" "16" "3" "19" "1"
"23" "KIAA1409" "6" "0" "4" "18" "39" "6" "9" "0" "4" "18" "26" "0" "18" "0"
"24" "NEB" "18" "43" "26" "24" "77" "8" "9" "38" "13" "28" "31" "10" "36" "2"
"25" "CACNA1E" "10" "31" "5" "23" "66" "6" "6" "38" "4" "16" "42" "4" "21" "5"
"26" "FAT1" "8" "24" "27" "16" "51" "5" "14" "45" "9" "66" "28" "3" "26" "1"
"27" "FN1" "4" "13" "11" "23" "39" "3" "1" "31" "6" "12" "8" "1" "21" "1"
"28" "DNAH3" "19" "27" "16" "23" "69" "17" "13" "32" "10" "19" "29" "2" "24" "2"
"29" "FBN1" "9" "24" "11" "21" "63" "3" "4" "23" "8" "11" "9" "6" "18" "3"
"30" "TEX15" "13" "24" "5" "21" "34" "11" "4" "21" "3" "9" "24" "2" "14" "2"
"31" "ODZ3" "9" "15" "4" "18" "39" "9" "1" "27" "4" "5" "17" "0" "22" "0"
"32" "GPR98" "25" "32" "28" "20" "77" "18" "12" "31" "17" "29" "21" "7" "35" "6"
"33" "PLXNA4" "12" "20" "8" "24" "55" "9" "6" "32" "5" "12" "35" "3" "25" "1"
"34" "FAT4" "10" "25" "18" "47" "113" "5" "6" "47" "9" "30" "45" "5" "33" "0"
"35" "VPS13B" "8" "25" "17" "24" "52" "4" "8" "31" "13" "28" "25" "4" "25" "1"
"36" "RYR2" "44" "58" "20" "32" "107" "34" "17" "47" "14" "39" "95" "10" "81" "3"
"37" "CENPF" "8" "12" "15" "18" "42" "6" "7" "24" "8" "4" "21" "2" "8" "2"
"38" "PKHD1" "32" "24" "23" "30" "54" "23" "13" "26" "11" "21" "24" "9" "42" "7"
"39" "SACS" "10" "27" "9" "26" "75" "8" "7" "32" "5" "15" "18" "2" "19" "2"
"40" "APC" "3" "20" "8" "165" "62" "2" "10" "30" "6" "14" "10" "1" "9" "2"
"41" "ADAMTS12" "12" "11" "14" "21" "45" "9" "4" "21" "9" "17" "44" "3" "31" "0"
"42" "OBSCN" "33" "48" "24" "20" "107" "22" "7" "44" "5" "19" "35" "11" "27" "6"
"43" "ABCA13" "13" "39" "24" "23" "59" "8" "5" "36" "16" "22" "35" "5" "31" "0"
"44" "FAT2" "23" "24" "13" "33" "73" "13" "8" "29" "8" "20" "28" "10" "17" "1"
"45" "DST" "13" "40" "35" "21" "78" "8" "15" "41" "22" "24" "30" "5" "18" "2"
"46" "ODZ1" "5" "30" "7" "26" "39" "5" "10" "33" "7" "18" "29" "0" "28" "2"
"47" "XIRP2" "12" "33" "19" "19" "85" "11" "9" "31" "11" "29" "56" "1" "45" "1"
"48" "TECTA" "6" "16" "6" "27" "50" "6" "4" "28" "5" "14" "16" "0" "19" "2"
"49" "CMYA5" "5" "25" "10" "19" "61" "4" "6" "25" "4" "16" "18" "1" "13" "0"
"50" "ABCA12" "4" "18" "15" "26" "54" "2" "7" "29" "7" "13" "21" "2" "12" "1"
"51" "AHNAK2" "29" "31" "47" "29" "74" "22" "18" "39" "20" "25" "45" "7" "35" "4"
"52" "ATM" "4" "24" "16" "25" "57" "4" "4" "31" "12" "11" "23" "0" "8" "5"
"53" "DNAH2" "18" "25" "16" "31" "48" "14" "7" "31" "12" "20" "14" "4" "19" "3"
"54" "DNAH11" "18" "29" "18" "21" "70" "13" "10" "33" "9" "30" "27" "5" "44" "0"
"55" "LRP2" "28" "38" "27" "40" "72" "19" "15" "38" "15" "34" "33" "9" "41" "1"
"56" "DNAH5" "27" "24" "16" "40" "102" "20" "14" "40" "10" "52" "29" "7" "41" "4"
"57" "KALRN" "5" "16" "8" "23" "51" "3" "7" "29" "4" "21" "14" "2" "22" "0"
"58" "CSMD2" "7" "32" "15" "32" "70" "4" "8" "33" "7" "13" "39" "3" "38" "8"
"59" "VCAN" "7" "23" "17" "26" "62" "4" "9" "28" "8" "15" "26" "3" "21" "1"
"60" "DNAH8" "22" "21" "19" "23" "68" "16" "6" "28" "9" "30" "31" "6" "32" "5"
"61" "FREM2" "5" "19" "17" "27" "55" "3" "8" "27" "9" "18" "13" "2" "15" "0"
"62" "DCHS2" "16" "25" "14" "34" "65" "12" "4" "25" "8" "25" "25" "4" "19" "0"
"63" "RELN" "22" "26" "8" "26" "65" "19" "9" "25" "4" "31" "42" "3" "28" "2"
"64" "ANK2" "10" "32" "17" "35" "66" "8" "7" "23" "9" "26" "42" "2" "35" "3"
"65" "SYNE2" "11" "41" "19" "17" "73" "8" "9" "29" "11" "27" "30" "3" "25" "5"
"66" "DYNC2H1" "5" "23" "17" "15" "60" "3" "5" "30" "10" "10" "17" "2" "7" "2"
"67" "PKHD1L1" "11" "31" "21" "16" "64" "7" "11" "29" "16" "41" "30" "4" "44" "3"
"68" "GRIN2A" "15" "18" "6" "29" "35" "13" "3" "22" "4" "18" "32" "2" "19" "1"
"69" "TG" "13" "23" "16" "23" "65" "9" "10" "31" "7" "13" "21" "4" "17" "15"
"70" "RYR1" "17" "40" "25" "32" "78" "11" "12" "42" "13" "22" "45" "6" "30" "6"
"71" "DMD" "17" "45" "13" "37" "73" "12" "10" "42" "7" "35" "40" "5" "34" "1"
"72" "TNC" "5" "14" "12" "26" "46" "3" "1" "19" "7" "9" "8" "2" "15" "0"
"73" "KIAA1109" "9" "25" "16" "16" "57" "4" "8" "26" "3" "18" "22" "5" "26" "2"
"74" "TIAM1" "4" "9" "7" "21" "52" "2" "1" "26" "2" "8" "21" "2" "13" "0"
"75" "CUBN" "9" "29" "26" "33" "71" "5" "9" "26" "12" "34" "28" "4" "37" "0"
"76" "IDH1" "236" "5" "2" "4" "4" "15" "0" "6" "2" "2" "3" "221" "2" "0"
"77" "Unknown" "101" "0" "166" "2" "0" "101" "0" "0" "166" "0" "150" "0" "124" "0"
"78" "ATRX" "137" "21" "12" "7" "31" "19" "2" "27" "8" "19" "23" "118" "12" "1"
"79" "EGFR" "93" "9" "6" "13" "25" "78" "11" "9" "6" "17" "35" "15" "7" "0"
"80" "PTEN" "102" "35" "28" "8" "32" "89" "2" "161" "17" "5" "3" "13" "14" "2"
"81" "CIC" "57" "9" "6" "6" "38" "1" "5" "19" "3" "6" "3" "56" "4" "0"
